time,forecast
1708,-6.239724359
1709,-0.418821321
1710,-3.868175871
1711,-3.713348077
1712,-4.906989436
1713,1.733817292
1714,-13.40871857
1715,-0.428024606
1716,9.476832329
1717,9.627947719
1718,3.717789571
1719,4.487299219
1720,-5.149993368
1721,-18.06068017
1722,-1.557458548
1723,0.509834161
1724,-1.360606287
1725,-1.04061327
1726,-3.538684875
1727,11.05551318
1728,5.600896562
1729,-0.48121938
1730,10.97659699
1731,0.117257745
1732,0.351232713
1733,9.938515665
1734,-6.648694687
1735,-4.330732771
1736,2.100637555
1737,1.737354059
1738,0.768910513
1739,0.385791134
1740,-0.011302752
1741,-2.507482979
1742,5.415745316
1743,14.31626758
1744,6.005092982
1745,9.47837685
1746,-20.50736092
1747,-6.899188737
1748,6.467939978
1749,4.316950528
1750,-1.764811022
1751,-3.343030218
1752,-7.577849999
1753,-0.305091516
1754,7.396393533
1755,9.88180184
1756,-0.051715494
1757,3.024952499
1758,-6.645308856
1759,-7.991425169
1760,12.39031338
1761,-0.265511948
1762,-0.57624334
1763,8.506850316
1764,-0.312314221
1765,0.785586796
1766,-2.058033653
1767,5.323988399
1768,-10.39819897
1769,15.1304075
1770,-4.432278325
1771,-8.052456454
1772,7.486627869
1773,9.632356299
1774,2.873361267
1775,3.423801637
1776,3.944426414
1777,2.684440605
1778,1.288017615
1779,-1.74161536
1780,16.3139572
1781,1.644600803
1782,-9.58057602
1783,-1.074027908
1784,-9.46986239
1785,2.134877831
1786,-8.226211857
1787,-0.446260538
1788,-4.748971757
1789,11.42779432
1790,-5.520938926
1791,13.30535197
1792,-8.826334683
1793,-0.708896064
1794,-7.49165919
1795,-2.840881193
1796,8.224623082
1797,-3.558336762
1798,-2.523969149
1799,-0.924765702
1800,9.032785666
1801,-8.026099483
1802,-3.121401482
1803,-1.051942645
1804,-0.190494366
1805,-0.885936537
1806,-4.026318669
1807,7.537044526
1808,-6.578158026
1809,-1.348829026
1810,6.554722465
1811,-7.34435256
1812,2.362490573
1813,5.11755686
1814,-4.585987817
1815,0.629594943
1816,-2.634657021
1817,10.62349105
1818,-4.276470157
1819,0.502388236
1820,-16.21279244
1821,-22.18720898
1822,-0.479826666
1823,-1.844356435
1824,8.591378759
1825,3.665436037
1826,9.29449048
1827,-5.395714613
1828,6.735130433
1829,-5.18755175
1830,-1.19718687
1831,4.121601629
1832,0.189867372
1833,-8.537085063
1834,-1.763533213
1835,-5.008978422
1836,2.338698908
1837,0.797835527
1838,-4.371855073
1839,3.963865864
1840,-6.083938895
1841,2.504673872
1842,1.807440085
1843,-6.8485421
1844,-4.931357135
1845,-0.380702696
1846,0.757146085
1847,-7.411410851
1848,6.37476195
1849,4.400669811
1850,2.273344985
1851,-6.233642678
1852,4.858936228
1853,-2.588431381
1854,-6.120024772
1855,-0.140550647
1856,-0.76767256
1857,2.066747293
1858,-4.21081827
1859,6.420912221
1860,11.74799653
1861,-2.6401429
1862,7.828924412
1863,-1.287654353
1864,10.66362476
1865,-4.95162365
1866,1.630449423
1867,-10.07064644
1868,7.730162783
1869,1.93499692
1870,6.326943495
1871,-2.158372957
1872,9.310519849
1873,-13.10943677
1874,1.468823959
1875,4.81662538
1876,-4.748322249
1877,-4.109898406
1878,-6.781297942
1879,-7.790763843
1880,9.408192924
1881,-8.35235535
1882,4.683514174
1883,-2.942586956
1884,0.016901457
1885,9.332082421
1886,-0.000401927
1887,-6.205852616
1888,-1.947929198
1889,5.820844506
1890,1.436122718
1891,-8.439521822
1892,-1.531595074
1893,-1.729419939
1894,-7.319982863
1895,-5.882500388
1896,0.197542538
1897,-8.304949076
1898,2.346881949
1899,1.967919118
1900,-6.287695422
1901,-13.85295136
1902,-3.730680692
1903,2.133030005
1904,-1.112285715
1905,3.587348126
1906,2.970793573
1907,3.349235217
1908,18.17993279
1909,-5.77981854
1910,-5.400012198
